id,latitude,longitude
35204669,43.6476668516,-79.5254676
35190318,43.8129474748,-79.4227080658
35202588,43.7857662846,-79.4423253531
35201242,43.6787089117,-79.494592956
35211928,43.5985515953,-79.7035352252
35210131,43.7130435963,-79.7151362097
35210363,43.5747184786,-79.5765229215
35210888,43.5930471278,-79.6475697809
35202007,43.7610122985,-79.4920010813
35204394,43.7143797997,-79.4862988632
35204251,43.6411787383,-79.5562330214
35210295,43.6031505426,-79.6332754231
35200997,43.6685463043,-79.4337611671
35202248,43.6916286562,-79.4553296073
35201390,43.6805904016,-79.4901177942
35190188,43.8020567827,-79.6052381073
35200935,43.6469750789,-79.4335064361
35210311,43.611346651,-79.6114686633
35201506,43.6498732102,-79.5089076526
35204392,43.7174883656,-79.4806861857
35210927,43.5821506048,-79.700413312
35201283,43.6626074836,-79.4776737175
35201721,43.6835176215,-79.5622642236
35201999,43.7514175974,-79.4913108094
35201854,43.7355247991,-79.5865375494
35211083,43.7180517184,-79.6436558676
35210700,43.5724255041,-79.6692577505
35203081,43.7318070851,-79.6060484408
35212087,43.6083386314,-79.7044702197
35201702,43.6598124031,-79.532197851
35200949,43.6548550233,-79.4405235081
35202130,43.7238974211,-79.4277855299
35212094,43.5738654425,-79.6845465157
35203833,43.6606034457,-79.4264869884
35201586,43.5992542086,-79.5458698346
35190356,43.7913496879,-79.4556898511
35201577,43.5916078761,-79.5377306847
35201409,43.6411012686,-79.4404703466
35201294,43.656808074,-79.4758328148
35201450,43.6446762012,-79.424107817
35204668,43.6492553535,-79.5267779432
35210266,43.6055597149,-79.6790855579
35190273,43.8042253805,-79.4722868269
35203038,43.7477403138,-79.6037116433
35203061,43.7499437425,-79.586303997
35191320,43.8233018253,-79.4757240732
35210799,43.5817662288,-79.5962259784
35202104,43.7597298251,-79.4627910132
35211814,43.6057299093,-79.690313912
35210679,43.5932452472,-79.6849841349
35204414,43.7006627103,-79.5172279612
35211729,43.6245539802,-79.7176271947
35203151,43.6457255005,-79.4804039449
35200992,43.6681792426,-79.4269237975
35211019,43.6121427987,-79.6381657206
35190341,43.796559771,-79.4483092285
35203040,43.7545912483,-79.6019310134
35212088,43.6060517279,-79.7040936526
35200951,43.6559738325,-79.4425565885
35203111,43.6361114028,-79.569467066
35204189,43.6357871603,-79.4345250528
35201451,43.6442215603,-79.4259092802
35203108,43.65672271,-79.5436031982
35190195,43.79079135,-79.6235329524
35202988,43.6809163996,-79.5164914819
35202167,43.7313410955,-79.4781816054
35211336,43.6098671735,-79.6228405191
35201492,43.6557243499,-79.4891700018
35203073,43.7289614136,-79.5924582101
35204675,43.626957367,-79.4762715021
35202129,43.7256143884,-79.429303212
35201568,43.596571676,-79.5265349287
35204456,43.7004638482,-79.479470422
35211057,43.7084593401,-79.6402928562
35201710,43.668473598,-79.5623624631
35190349,43.7951601192,-79.4635504996
35201792,43.6991151243,-79.5582099576
35204431,43.6963015853,-79.5395352135
35202247,43.6906883835,-79.4502237593
35211113,43.7216681966,-79.6291947974
35210680,43.5895557763,-79.6853769417
35212044,43.5887384052,-79.6701728222
35204097,43.6555470018,-79.4652516238
35210094,43.7237048443,-79.7148478024
35203137,43.635086293,-79.5023421766
35210977,43.6216334095,-79.5940040448
35204685,43.6137594267,-79.4948125014
35202168,43.7323809325,-79.4821606312
35210681,43.5915894113,-79.6820865046
35201881,43.7577977254,-79.5749319559
35201141,43.680832012,-79.4474013603
35201849,43.7298030623,-79.5766473255
35190283,43.8112904014,-79.4606661504
35210698,43.5727288861,-79.6612958551
35191045,43.8059050582,-79.4525639261
35202535,43.7865029004,-79.4535951305
35212064,43.7745203092,-79.7277160285
35190213,43.7826539326,-79.5743340671
35201961,43.7267478354,-79.493278282
35201384,43.6776187436,-79.4791538084
35211489,43.5737816772,-79.5660189204
35211826,43.5976581161,-79.6282374479
35211079,43.721847604,-79.6472351897
35204736,43.6750508365,-79.4709453346
35191282,43.8166013455,-79.6156343062
35190205,43.7784127393,-79.6079220663
35204540,43.6895541955,-79.4229665771
35201487,43.653922377,-79.481471016
